"Project Name",City,"Total Housing Units","Local partners",Sponsor,"Tax Credit units","Unit type","Allocation amount","Allocation type","Allocation year"
"Highland Hill Housing",Hardwick,14,,Evernorth,11,"Acquisition, Rehabilitation","$47,500",Federal,1998
"Essex Town Ctr",Essex,44,,"Homestead Design Inc.",26,"New construction","$7,999",Federal,1998
"Lakeview Housing",Newport,16,,Evernorth,16,"Acquisition, Rehabilitation","$35,754",Federal,1998
"1306 Ethan Allen/E Spring",Colchester,42,,Evernorth,32,,$837,Federal,1998
"ACCAG II (North Pleasant/Seymour)",Middlebury,24,,Evernorth,22,,"$1,798",Federal,1998
"Applegate Apartments",Bennington,104,,Evernorth,74,"Rehabilitation, Acquisition","$107,204",Federal,1998
"Bennington Arts Housing",Bennington,15,,Evernorth,14,"Acquisition, Rehabilitation","$73,000",Federal,1998
"Bailey, Baldwin, Barre Sts (Winooski River Apts)",Montpelier,15,"Downstreet Housing and Community Development",,11,Rehabilitation,"$50,000",Federal,1998
"Cora B. Whitney",Bennington,22,,"Shires Housing",11,Rehabilitation,"$73,399",Federal,1998
"ACCAG I (Maynard/Sargent)",Middlebury,19,,Evernorth,17,Rehabilitation,$740,Federal,1998
"Windsor Hollow",Wilder,27,,"SK Properties",26,"New construction","$7,323",Federal,1997
WRAP,"Wells River",22,,Evernorth,17,"Acquisition, Rehabilitation","$79,661",Federal,1997
"Westview Ter",Springfield,58,,"Realty Resources Chartered",58,Rehabilitation,"$45,073",Federal,1997
"South Sq (101 College)",Burlington,65,,Evernorth,63,"Acquisition, Rehabilitation","$81,903",Federal,1997
"Swanton Meadows",Swanton,20,,"Realty Resources Chartered",20,"New construction","$58,300",Federal,1997
"St. Johnsbury HP Phase II","St. Johnsbury",32,,"Northern Community Investment Corporation",28,Rehabilitation,"$3,364",Federal,1997
"Pines, The, Phase IV","South Burlington",60,,"Pines Housing LP",17,"New construction","$38,004",Federal,1997
"Park Pl I",Burlington,20,,Evernorth,16,Rehabilitation,"$100,144",Federal,1997
"Phelps Ct",Windsor,10,,"Rockingham Area Community Land Trust",7,Rehabilitation,"$2,323",Federal,1997
"Richmond Village Housing",Richmond,16,,"Champlain Housing Trust",12,"New construction","$74,116",Federal,1997
"Essex Town Ctr",Essex,44,,"Homestead Design Inc.",26,"New construction","$29,008",Federal,1997
"Hedding Dr",Randolph,16,,Evernorth,14,"Acquisition, Rehabilitation","$42,000",Federal,1997
"ACCAG II (North Pleasant/Seymour)",Middlebury,24,,Evernorth,22,,"$97,503",Federal,1997
"Applegate Apartments",Bennington,104,,Evernorth,74,"Rehabilitation, Acquisition","$122,796",Federal,1997
"Alfred Ct","Fair Haven",17,,"THM Inc.",12,"New construction","$35,000",Federal,1997
"10 Phelps CT",Windsor,4,,"Rockingham Area Community Land Trust",2,Rehabilitation,"$17,315",Federal,1997
"1306 Ethan Allen/E Spring",Colchester,42,,Evernorth,32,,"$102,548",Federal,1997
"Caledonia HP Phase II","St. Johnsbury",28,,"Northern Community Investment Corporation",20,Rehabilitation,"$1,226",Federal,1996
BRHIP,Burlington,33,,Evernorth,27,"Acquisition, Rehabilitation","$92,616",Federal,1996
"Pines, The, Phase III","South Burlington",39,,"Pines Housing LP",39,"New construction","$199,017",Federal,1996
"Phelps Ct",Windsor,10,,"Rockingham Area Community Land Trust",7,Rehabilitation,"$26,580",Federal,1996
"Essex Town Ctr",Essex,44,,"Homestead Design Inc.",26,"New construction","$160,310",Federal,1996
"Holy Cross Senior Housing",Colchester,40,,"Champlain Housing Trust",33,"New construction","$151,408",Federal,1996
"Black River Overlook",Ludlow,25,,Evernorth,25,"New construction","$216,518",Federal,1996
"ACCAG I (Maynard/Sargent)",Middlebury,19,,Evernorth,17,Rehabilitation,"$79,465",Federal,1996
"Westview Ter",Springfield,58,,"Realty Resources Chartered",58,Rehabilitation,"$371,242",Federal,1995
"St. Johnsbury HP Phase II","St. Johnsbury",32,,"Northern Community Investment Corporation",28,Rehabilitation,"$25,705",Federal,1995
"Rose St Co-op",Burlington,12,,Evernorth,12,Rehabilitation,"$74,434",Federal,1995
"Fairfield Street School Apts","St. Albans",20,,Evernorth,20,"Acquisition, Rehabilitation","$90,034",Federal,1995
"Pines, The, Phase II","South Burlington",33,,"Pines Housing LP",26,"New construction","$137,108",Federal,1995
"Lyndonville Phase II",Lyndonville,14,,"Northern Community Investment Corporation",12,Rehabilitation,"$16,704",Federal,1995
"Adams House","Fair Haven",13,,"Rutland County Community Land Trust",13,Rehabilitation,"$79,609",Federal,1995
"Windsor Hollow",Wilder,27,,"SK Properties",26,"New construction","$63,818",Federal,1994
"Thelma Maple Coop",Burlington,20,,Evernorth,20,"New construction","$165,763",Federal,1994
"Pines, The, Phase I","South Burlington",53,,"Pines Housing LP",53,"New construction","$390,052",Federal,1994
"Spring, Elliot & Valgar Streets",Brattleboro,28,,,27,"Rehabilitation, Acquisition","$111,233",Federal,1994
"School St Hartford",Hartford,8,,Evernorth,7,Rehabilitation,"$32,184",Federal,1994
"Caledonia HP Phase I","St. Johnsbury",28,,"Northern Community Investment Corporation",25,"Acquisition, Rehabilitation","$13,130",Federal,1994
"Morse Block",Barre,16,,"Vermont Housing Enterprises Inc.",15,Rehabilitation,"$65,648",Federal,1994
"Queensbury Rd","South Burlington",18,,Evernorth,16,"New construction","$133,633",Federal,1994
"Windsor Village",Windsor,77,"Rockingham Area Community Land Trust",Evernorth,77,"Rehabilitation, Acquisition","$165,945",Federal,1994
"Erastus Thayer House",Brandon,9,,Evernorth,8,Rehabilitation,"$31,810",Federal,1994
"Autumn Leaves",Poultney,20,,"PDC Development",20,"New construction","$51,465",Federal,1994
"Congress & Park",Morrisville,12,,Evernorth,8,Rehabilitation,"$37,548",Federal,1994
"Burlington Scattered Site O.N.E.",Burlington,20,,Evernorth,20,Rehabilitation,"$92,926",Federal,1994
"Bentley Farm Rehab",Arlington,8,,Evernorth,7,Rehabilitation,"$42,881",Federal,1994
"Rutland Scattered Site (Rutland Rehab I)",Rutland,31,"Housing Foundation Inc., The",Evernorth,31,"Acquisition, Rehabilitation","$23,098",Federal,1993
"St. John's Knoll",Johnson,20,,"Realty Resources Chartered",20,"New construction","$51,934",Federal,1993
"Neshobe House",Brandon,25,,"Williams Holding Co./Brandon",25,"New construction","$66,637",Federal,1993
"Graystone Village","White River Junction",34,,Evernorth,32,,"$87,704",Federal,1993
"Bradford Village",Bradford,21,,"Realty Resources Chartered",21,"New construction","$64,116",Federal,1993
"Depot II",Bethel,10,,"Vermont Housing Enterprises Inc.",10,"Acquisition, Rehabilitation","$17,255",Federal,1993
"Randolph House",Randolph,48,"Randolph Area Community Development Corp.",,48,"Rehabilitation, Acquisition","$71,531",Federal,1992
"Caledonia HP Phase I","St. Johnsbury",28,,"Northern Community Investment Corporation",25,"Acquisition, Rehabilitation","$53,043",Federal,1992
"Rutland Scattered Site (Rutland Rehab I)",Rutland,31,"Housing Foundation Inc., The",Evernorth,31,"Acquisition, Rehabilitation","$156,139",Federal,1992
"Newport Housing",Newport,13,,Evernorth,10,"Acquisition, Rehabilitation","$34,512",Federal,1992
"Newport Pl Elderly",Newport,24,,"Realty Resources Chartered",24,,"$49,755",Federal,1992
"Peacham Academy",Peacham,4,,Evernorth,4,"Acquisition, Rehabilitation","$6,197",Federal,1992
"North Branch Apts (new)",Montpelier,16,,Evernorth,13,"New construction","$70,014",Federal,1992
"North Branch Apts (rehab)",Montpelier,23,,Evernorth,23,Rehabilitation,"$125,483",Federal,1992
"Hardwick Housing",Hardwick,7,,"Northern Community Investment Corporation",7,"New construction","$21,284",Federal,1992
"Franklin Homestead",Franklin,23,,"Franklin Homestead",14,"New construction","$83,250",Federal,1992
"Lyndonville, Phase I",Lyndonville,14,,"Northern Community Investment Corporation",12,Rehabilitation,"$20,295",Federal,1992
"Derby Line Housing","Derby Line",9,,Evernorth,9,Rehabilitation,"$15,637",Federal,1992
"Whitney Hill",Williston,44,"Cathedral Square Corp.",Evernorth,37,"New construction, Rehabilitation, Acquisition","$160,462",Federal,1991
"Stimson & Graves (Chase Block)",Waterbury,14,"Downstreet Housing and Community Development",Evernorth,14,Rehabilitation,"$97,361",Federal,1991
"Putney Meadows",Putney,28,,"Realty Resources Chartered",28,"New construction","$84,057",Federal,1991
"Meadowbrook Pl",Williamstown,15,,"Housing Foundation Inc., The",15,"New construction","$48,983",Federal,1991
"Pine Meadow",Middlebury,30,"Addison County Community Trust",Evernorth,24,"New construction","$166,062",Federal,1991
"Pleasant Brook",Chester,24,,"SK Properties",22,"New construction","$72,833",Federal,1991
"Highgate Apts",Barre,120,"Highgate Housing Inc.",Evernorth,109,"Acquisition, Rehabilitation","$233,968",Federal,1991
"Genest Bldg",Winooski,10,,"S.D. Mansfield Inc.",10,Rehabilitation,"$31,163",Federal,1991
"Abbott Block",Brattleboro,17,,Evernorth,8,Rehabilitation,"$16,409",Federal,1991
"Hunt Farm",Bristol,9,Evernorth,"Addison County Community Trust",9,Rehabilitation,"$100,000",Federal,1991
"St. Johnsbury HP Phase I","St. Johnsbury",32,,Evernorth,23,Rehabilitation,"$46,652",Federal,1990
"Mountain View Apts",Springfield,72,,Evernorth,52,"Acquisition, Rehabilitation","$76,682",Federal,1990
"North St Bissonnette",Burlington,6,,"Bissonette, William",6,Rehabilitation,"$5,559",Federal,1990
"Winchester Pl",Colchester,166,"Champlain Housing Trust",Evernorth,75,"New construction","$158,392",Federal,1989
"School St Plainfield",Plainfield,13,,"Housing Foundation Inc., The",13,Acquisition,"$23,000",Federal,1989
"Sherlock Holmes",Middlebury,2,,"Sherlock, John P.",2,"New construction","$8,814",Federal,1989
"Prospect St Apts",Montpelier,29,,Evernorth,29,"New construction","$56,638",Federal,1989
Northgate,Burlington,336,,Evernorth,179,Rehabilitation,"$426,130",Federal,1989
"Middlebury Commons",Middlebury,63,,Evernorth,63,"New construction","$134,045",Federal,1989
"Cummings St",Montpelier,20,,"Capital City Housing Foundation Inc",18,Acquisition,"$27,199",Federal,1989
"Salmon Run",Burlington,80,,Evernorth,36,"New construction","$113,614",Federal,1988
"Pleasant St Apartments",Enosburg,24,,"Merchants Properties Inc.",19,"New construction","$42,907",Federal,1988
"Lane Shops",Montpelier,50,,"Lane Shop Associates",40,Rehabilitation,"$11,220",Federal,1988
"Heineberg Senior Housing",Burlington,82,,"Heineberg Senior Housing Corp.",42,"New construction","$198,907",Federal,1988
"Hillcrest View","St. Albans",34,,"Housing Foundation Inc., The",24,"New construction","$46,887",Federal,1988
"Armory Square",Windsor,58,"Rockingham Area Community Land Trust",Evernorth,51,Rehabilitation,"$224,000",Federal,1988
"South Meadow",Burlington,64,"Champlain Housing Trust",Evernorth,64,"New construction, Rehabilitation","$65,237",Federal,1987
"North St Shriner",Burlington,4,,"Shriner, W.L. (Bud)",4,Acquisition,"$4,525",Federal,1987
"Meadow Ln",Milton,20,,"Milton Associates",20,Rehabilitation,"$7,875",Federal,1987
