"Project Name",City,"Total Housing Units","Local partners",Sponsor,"Tax Credit units","Unit type","Allocation amount","Allocation type","Allocation year"
"Chicken Bone Neighborhood Housing",Burlington,60,"Champlain Housing Trust",Evernorth,59,Rehabilitation,"$241,071","Tax Exempt Bonds",2021
"Governor Prouty",Newport,24,,RuralEdge,24,Rehabilitation,"$99,366","Tax Exempt Bonds",2021
"Juniper House North",Burlington,22,,"Cathedral Square Corp.",22,"New construction","$188,125","Tax Exempt Bonds",2021
"New Avenue Apartments (Depot Square)","St. Johnsbury",38,RuralEdge,Evernorth,36,Rehabilitation,"$222,861",Federal,2021
"Stimson & Graves (Chase Block)",Waterbury,14,"Downstreet Housing and Community Development",Evernorth,14,Rehabilitation,"$58,569","Tax Exempt Bonds",2021
"Woolson Block",Springfield,20,"Springfield Housing Authority",Evernorth,19,Rehabilitation,"$60,038",Federal,2020
"New Avenue Apartments (Depot Square)","St. Johnsbury",38,RuralEdge,Evernorth,36,Rehabilitation,"$579,412",Federal,2020
"John's River","Derby Line",23,RuralEdge,RuralEdge,23,Rehabilitation,"$107,708","Tax Exempt Bonds",2020
"Appletree Apartments","Fair Haven",40,,"Housing Trust of Rutland County",40,Rehabilitation,"$345,368","Tax Exempt Bonds",2020
"Hunt Farm",Bristol,9,Evernorth,"Addison County Community Trust",9,Rehabilitation,"$82,472","Tax Exempt Bonds",2020
"Manchester Knoll (Woodland Station)",Manchester,20,"Shires Housing",Evernorth,15,"New construction","$150,000",State,2020
"Governor Prouty",Newport,24,,RuralEdge,24,Rehabilitation,"$10,630",State,2020
"Stimson & Graves (Chase Block)",Waterbury,14,"Downstreet Housing and Community Development",Evernorth,14,Rehabilitation,"$96,167",State,2020
"Juniper House North",Burlington,22,,"Cathedral Square Corp.",22,"New construction","$118,500",State,2020
"Vergennes Community Housing",Vergennes,24,"Addison County Community Trust",Evernorth,17,"New construction","$505,000",Federal,2020
"Congress Street Apartments","St. Albans",30,"Champlain Housing Trust",Evernorth,22,"New construction","$510,000",Federal,2020
"Lake Paran Village Apartments",Shaftsbury,22,,"Shires Housing",16,"New construction","$580,500",Federal,2020
"Juniper House South",Burlington,48,,"Cathedral Square Corp.",38,"New construction","$990,000",Federal,2020
"John's River","Derby Line",23,RuralEdge,RuralEdge,23,Rehabilitation,"$65,000",State,2019
"Winooski River Apts (fka Bailey, Baldwin, Barre Sts)",Montpelier,15,"Downstreet Housing and Community Development","Downstreet Housing and Community Development",13,Rehabilitation,"$91,913","Tax Exempt Bonds",2019
"South Burlington City Center (Garden Street Apartments)","South Burlington",60,"Champlain Housing Trust",Evernorth,42,"New construction","$777,000",Federal,2019
"Appletree Apartments","Fair Haven",40,,"Housing Trust of Rutland County",40,Rehabilitation,"$155,000",State,2019
"Chicken Bone Neighborhood Housing",Burlington,60,"Champlain Housing Trust",Evernorth,59,Rehabilitation,"$125,000",State,2019
"Woolson Block",Springfield,20,"Springfield Housing Authority",Evernorth,19,Rehabilitation,"$445,000",Federal,2019
"Manchester Knoll (Woodland Station)",Manchester,20,"Shires Housing",Evernorth,15,"New construction","$214,057","Tax Exempt Bonds",2019
"Snow Block",Brattleboro,23,"Windham and Windsor Housing Trust","Windham and Windsor Housing Trust",18,"New construction","$573,900",Federal,2019
"Hunt Farm",Bristol,9,Evernorth,"Addison County Community Trust",9,Rehabilitation,"$55,000",State,2019
"Olivia Place",Lyndonville,20,RuralEdge,Evernorth,16,"New construction","$465,000",Federal,2019
"Casavant Apartments",Winooski,39,"Green Mountain Development Group",,27,"New construction","$697,707",Federal,2019
"South Burlington City Center (Garden Street Apartments)","South Burlington",60,"Champlain Housing Trust",Evernorth,42,"New construction","$770,000",Federal,2019
"Pleasant Hills",Bristol,16,Evernorth,"Addison County Community Trust",16,Rehabilitation,"$105,000","Tax Exempt Bonds",2019
"Winooski River Apts (fka Bailey, Baldwin, Barre Sts)",Montpelier,15,"Downstreet Housing and Community Development","Downstreet Housing and Community Development",13,Rehabilitation,"$95,300",State,2018
"Laurentide Apartments",Burlington,76,"Champlain Housing Trust",Evernorth,52,"New construction","$1,380,000",Federal,2018
"Taylor Street",Montpelier,30,"Downstreet Housing and Community Development",Evernorth,19,"New construction","$450,000",Federal,2018
"Wentworth Community Housing",Hartford,30,"Twin Pines Housing Trust",Evernorth,21,"New construction","$645,000",Federal,2018
"Sugarwood Apartments",Middlebury,12,,"Green Mountain Development Group",12,Rehabilitation,"$20,000",State,2018
"Great River Terrace",Brattleboro,22,,"Windham and Windsor Housing Trust",21,Rehabilitation,"$64,600",State,2018
"Great River Terrace",Brattleboro,22,,"Windham and Windsor Housing Trust",21,Rehabilitation,"$158,709","Tax Exempt Bonds",2018
"Allard Square","South Burlington",39,,"Cathedral Square Corp.",29,"New construction","$719,000",Federal,2018
"Monument View Apartments",Bennington,24,"Shires Housing",Evernorth,22,"New construction","$525,000",Federal,2018
"South Meadow",Burlington,64,"Champlain Housing Trust",Evernorth,64,"New construction, Rehabilitation","$347,999","Tax Exempt Bonds",2017
"Applegate Apartments",Bennington,104,,Evernorth,74,"Rehabilitation, Acquisition","$285,000","Tax Exempt Bonds",2017
"The Briars (Briars Housing II)",Hartford,24,,Evernorth,20,"Rehabilitation, Acquisition","$110,405","Tax Exempt Bonds",2017
"Brattleboro Neighborhood Housing (PE 3)",Brattleboro,29,,"Windham and Windsor Housing Trust",,Rehabilitation,"$231,533","Tax Exempt Bonds",2017
"Milton Senior - Elm Place",Milton,30,,"Cathedral Square Corp.",,"New construction","$143,104",Federal,2017
"Sugarwood Apartments",Middlebury,12,,"Green Mountain Development Group",12,Rehabilitation,"$40,000",State,2017
"South Meadow",Burlington,64,"Champlain Housing Trust",Evernorth,64,"New construction, Rehabilitation","$60,000",State,2017
"Applegate Apartments",Bennington,104,,Evernorth,74,"Rehabilitation, Acquisition","$75,000",State,2017
"The Briars (Briars Housing II)",Hartford,24,,Evernorth,20,"Rehabilitation, Acquisition","$95,000",State,2017
"Hickory Street (Forest Park) - Phase II",Rutland,45,"Rutland Housing Authority",Evernorth,39,,"$75,000",State,2017
"Jeudevine Housing",Hardwick,18,"Lamoille Housing Partnership",Evernorth,18,Rehabilitation,"$250,000",Federal,2017
"Hickory Street (Forest Park) - Phase III",Rutland,22,"Rutland Housing Authority",Evernorth,21,"New construction","$485,100",Federal,2017
"Colonial Village",Bradford,21,,"Downstreet Housing and Community Development",21,Rehabilitation,"$55,000",State,2017
"Colonial Village",Bradford,21,,"Downstreet Housing and Community Development",21,Rehabilitation,"$208,276","Tax Exempt Bonds",2017
"Bridge & Main","White River Junction",17,,"Railroad Row LLC",16,"New construction","$369,300",Federal,2017
"Battenkill North",Arlington,22,"Shires Housing",Evernorth,21,Rehabilitation,"$380,500",Federal,2017
"Hollister Hill",Marshfield,16,,"Housing Foundation Inc., The",16,"New construction","$355,950",Federal,2017
"French Block",Montpelier,18,,"Downstreet Housing and Community Development",13,Rehabilitation,"$340,000",Federal,2017
"Bailey, Baldwin, Barre Sts (Winooski River Apts)",Montpelier,15,"Downstreet Housing and Community Development",,11,Rehabilitation,"$95,300",State,2017
"Bailey, Baldwin, Barre Sts (Winooski River Apts)",Montpelier,15,"Downstreet Housing and Community Development",,11,Rehabilitation,"$104,679","Tax Exempt Bonds",2017
"Sugarwood Apartments",Middlebury,12,,"Green Mountain Development Group",12,Rehabilitation,"$59,884","Tax Exempt Bonds",2017
"Parkview Apartments",Newport,12,,RuralEdge,12,Rehabilitation,"$83,100",State,2017
"Parkview Apartments",Newport,12,,RuralEdge,12,Rehabilitation,"$112,475","Tax Exempt Bonds",2017
"Heritage Court",Poultney,17,,"Housing Trust of Rutland County",16,Rehabilitation,"$52,000",State,2017
"Heritage Court",Poultney,17,,"Housing Trust of Rutland County",16,Rehabilitation,"$106,964","Tax Exempt Bonds",2017
"Putney Landing",Putney,25,Evernorth,"Windham and Windsor Housing Trust",23,"New construction","$585,000",Federal,2017
"Hardwick Housing",Hardwick,7,,"Northern Community Investment Corporation",7,"New construction","$250,000",Federal,2017
"Darling Inn",Lyndonville,28,,RuralEdge,,Rehabilitation,"$117,680","Tax Exempt Bonds",2016
"Adams House","Fair Haven",13,,"Rutland County Community Land Trust",13,Rehabilitation,"$65,161","Tax Exempt Bonds",2016
"Barre Street Apartments",Montpelier,19,,"Downstreet Housing and Community Development",17,"Rehabilitation, Acquisition","$92,607","Tax Exempt Bonds",2016
"Kelley's Field",Hinesburg,24,,"Cathedral Square Corp.",24,"Rehabilitation, Acquisition","$134,000","Tax Exempt Bonds",2016
"Winchester Pl",Colchester,166,"Champlain Housing Trust",Evernorth,75,"New construction","$233,740","Tax Exempt Bonds",2016
"Bennington Historic Rehabilitation Project (Shires BHRP)",Bennington,26,,"Shires Housing",23,Rehabilitation,"$141,873","Tax Exempt Bonds",2016
"Gevry MHP (McKnight Lane)",Waltham,14,,"Addison County Community Trust",14,"New construction","$231,000",Federal,2016
"Milton Senior - Elm Place",Milton,30,,"Cathedral Square Corp.",,"New construction","$513,896",Federal,2016
"95 North Avenue",Burlington,14,Evernorth,"Committee on Temporary Shelter",,"New construction","$190,104",Federal,2016
"Bright Street",Burlington,42,Evernorth,"Champlain Housing Trust",,Rehabilitation,"$825,000",Federal,2016
"Bennington Historic Rehabilitation Project (Shires BHRP)",Bennington,26,,"Shires Housing",23,Rehabilitation,"$95,000",State,2016
"Darling Inn",Lyndonville,28,,RuralEdge,,Rehabilitation,"$52,600",State,2016
"Bright Street",Burlington,42,Evernorth,"Champlain Housing Trust",,Rehabilitation,"$39,900",State,2016
"Brattleboro Neighborhood Housing (PE 3)",Brattleboro,29,,"Windham and Windsor Housing Trust",,Rehabilitation,"$129,000",State,2016
"Winchester Pl",Colchester,166,"Champlain Housing Trust",Evernorth,75,"New construction","$37,500",State,2016
"Adams House","Fair Haven",13,,"Rutland County Community Land Trust",13,Rehabilitation,"$46,000",State,2016
"Green Street Village Apartments",Hinesburg,24,"Champlain Housing Trust",Evernorth,22,"New construction","$405,000",Federal,2016
"Richmond Terrace",Richmond,15,,"Cathedral Square Corp.",14,"Rehabilitation, Acquisition","$65,000","Tax Exempt Bonds",2016
"Valley View II Apts",Vergennes,12,"Housing Foundation Inc., The",,12,"Rehabilitation, Acquisition","$67,748","Tax Exempt Bonds",2015
"Cobblestone Neighborhood Housing",Brattleboro,29,,,27,"Rehabilitation, Acquisition","$125,891","Tax Exempt Bonds",2015
"Ladd Hall (South Main Apartments)",Waterbury,27,"Downstreet Housing and Community Development",Evernorth,21,"New construction, Rehabilitation, Acquisition","$44,104",Federal,2015
"95 North Avenue",Burlington,14,Evernorth,"Committee on Temporary Shelter",,"New construction","$154,646",Federal,2015
"Hartford Scattered Sites",Hartford,34,,"Twin Pines Housing Trust",31,"Rehabilitation, Acquisition","$625,000",Federal,2015
"Winchester Pl",Colchester,166,"Champlain Housing Trust",Evernorth,75,"New construction","$2,500",State,2015
"Putney & Brattleboro Housing Opportunities",Brattleboro,25,,,23,"Rehabilitation, Acquisition","$330,000",Federal,2015
"Barre Street Apartments",Montpelier,19,,"Downstreet Housing and Community Development",17,"Rehabilitation, Acquisition","$100,000",State,2015
"Red Clover Commons",Brattleboro,55,"Brattleboro Housing Authority",Evernorth,55,"New construction","$845,250",Federal,2015
"Hartford Scattered Sites",Hartford,34,,"Twin Pines Housing Trust",31,"Rehabilitation, Acquisition","$100,000",State,2015
"Safford Commons",Woodstock,28,Evernorth,,23,"Rehabilitation, Acquisition","$37,500",Federal,2015
"Kelley's Field",Hinesburg,24,,"Cathedral Square Corp.",24,"Rehabilitation, Acquisition","$40,000",State,2015
"Summer Street Apartments",Barre,28,,"Downstreet Housing and Community Development",27,"New construction","$643,500",Federal,2015
"Green Street Village Apartments",Hinesburg,24,"Champlain Housing Trust",Evernorth,22,"New construction","$50,000",State,2015
"Richmond Terrace",Richmond,15,,"Cathedral Square Corp.",14,"Rehabilitation, Acquisition","$32,500",State,2015
"Summer Street Apartments",Barre,28,,"Downstreet Housing and Community Development",27,"New construction","$75,000",State,2015
"Barre Street Apartments",Montpelier,19,,"Downstreet Housing and Community Development",17,"Rehabilitation, Acquisition","$90,000","Tax Exempt Bonds",2015
"Richmond Terrace",Richmond,15,,"Cathedral Square Corp.",14,"Rehabilitation, Acquisition","$68,268","Tax Exempt Bonds",2014
"Rail City Family Housing","St. Albans",31,"Champlain Housing Trust",Evernorth,28,Acquisition,"$116,387","Tax Exempt Bonds",2014
"Maple Street Senior Apts",Hardwick,16,,Evernorth,16,"Rehabilitation, Acquisition","$61,199","Tax Exempt Bonds",2014
"Watkins School & Carriage House Apts",Rutland,15,"Housing Trust of Rutland County","Housing Trust of Rutland County",15,"New construction, Rehabilitation","$18,000",Federal,2014
"Wright House",Shelburne,36,,"Cathedral Square Corp.",31,"New construction","$451,317",Federal,2014
"Bobbin Mill",Burlington,51,"Burlington Housing Authority",Evernorth,51,"Rehabilitation, Acquisition","$740,250",Federal,2014
"Cobblestone Neighborhood Housing",Brattleboro,29,,,27,"Rehabilitation, Acquisition","$114,500",State,2014
"Hinesburg Village Housing",Hinesburg,21,"Champlain Housing Trust",Evernorth,19,"New construction","$45,000",State,2014
"Benson Heights",Benson,15,"Housing Trust of Rutland County","Housing Trust of Rutland County",15,"Rehabilitation, Acquisition","$22,500",State,2014
"North Pleasant Street",Middlebury,22,"Addison County Community Trust",Evernorth,21,"New construction, Rehabilitation, Acquisition","$395,000",Federal,2014
"Benson Heights",Benson,15,"Housing Trust of Rutland County","Housing Trust of Rutland County",15,"Rehabilitation, Acquisition","$93,271","Tax Exempt Bonds",2014
"North Pleasant Street",Middlebury,22,"Addison County Community Trust",Evernorth,21,"New construction, Rehabilitation, Acquisition","$58,000",State,2014
"Ladd Hall (South Main Apartments)",Waterbury,27,"Downstreet Housing and Community Development",Evernorth,21,"New construction, Rehabilitation, Acquisition","$386,396",Federal,2014
"Valley View II Apts",Vergennes,12,"Housing Foundation Inc., The",,12,"Rehabilitation, Acquisition","$65,000",State,2014
"Harrington Village",Shelburne,42,"Champlain Housing Trust",Evernorth,36,"New construction","$25,000",State,2014
"Safford Commons",Woodstock,28,Evernorth,,23,"Rehabilitation, Acquisition","$650,000",Federal,2014
"Maple Street Senior Apts",Hardwick,16,,Evernorth,16,"Rehabilitation, Acquisition","$25,000",State,2014
"Ladd Hall (South Main Apartments)",Waterbury,27,"Downstreet Housing and Community Development",Evernorth,21,"New construction, Rehabilitation, Acquisition","$45,000",State,2014
Arthurs,Morrisville,18,"Lamoille Housing Partnership",Evernorth,12,"Rehabilitation, Acquisition","$75,000",State,2013
"Wright House",Shelburne,36,,"Cathedral Square Corp.",31,"New construction","$290,533",Federal,2013
"Lamoille View",Morrisville,25,"Lamoille Housing Partnership",Evernorth,25,"Rehabilitation, Acquisition","$107,000","Tax Exempt Bonds",2013
"Hickory Street (Forest Park) - Phase II",Rutland,45,"Rutland Housing Authority",Evernorth,39,,"$493,500",Federal,2013
"Harrington Village",Shelburne,42,"Champlain Housing Trust",Evernorth,36,"New construction","$735,000",Federal,2013
"West River Valley - Assisted Living II",Townshend,12,"Valley Cares",Evernorth,6,"New construction","$122,057",Federal,2013
"Black River Overlook",Ludlow,25,,Evernorth,25,"New construction","$343,000",Federal,2013
Arthurs,Morrisville,18,"Lamoille Housing Partnership",Evernorth,12,"Rehabilitation, Acquisition","$252,000",Federal,2013
"Maple Street Senior Apts",Hardwick,16,,Evernorth,16,"Rehabilitation, Acquisition","$54,200","Tax Exempt Bonds",2013
"Black River Overlook",Ludlow,25,,Evernorth,25,"New construction","$34,000",State,2013
"Cobblestone Neighborhood Housing",Brattleboro,29,,,27,"Rehabilitation, Acquisition","$122,000","Tax Exempt Bonds",2013
"Lamoille View",Morrisville,25,"Lamoille Housing Partnership",Evernorth,25,"Rehabilitation, Acquisition","$52,000",State,2013
"Packard Lofts",Burlington,25,,"Hartland Group, The",5,"Rehabilitation, Acquisition","$105,000",State,2013
"Packard Lofts",Burlington,25,,"Hartland Group, The",5,"Rehabilitation, Acquisition","$42,000","Tax Exempt Bonds",2013
"Harrington Village",Shelburne,42,"Champlain Housing Trust",Evernorth,36,"New construction","$69,000",State,2013
"Watkins School & Carriage House Apts",Rutland,15,"Housing Trust of Rutland County","Housing Trust of Rutland County",15,"New construction, Rehabilitation","$360,000",Federal,2013
